Name,Isaac Benton,Brad Winter,Ken Sanchez,Klarissa J. Pena,Dan Lewis,Patrick Davis,Diane G. Gibson,Trudy E. Jones,Don Harris,Cynthia D. Borrego
District,,,,,,,,,,
Years_Active,[],[],[],[],[],[],[],[],[],[]
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|Excused,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|Excused,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|Excused,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|Excused,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14899533&GUID=743E8DFD-1EB6-4746-987A-CEB83E44AC28|Excused,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14899533&GUID=743E8DFD-1EB6-4746-987A-CEB83E44AC28|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14899533&GUID=743E8DFD-1EB6-4746-987A-CEB83E44AC28|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14899533&GUID=743E8DFD-1EB6-4746-987A-CEB83E44AC28|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14899533&GUID=743E8DFD-1EB6-4746-987A-CEB83E44AC28|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14899533&GUID=743E8DFD-1EB6-4746-987A-CEB83E44AC28|Excused,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For
